th,loss,delay
13000000.0,0.0,0.0
12896551.72413793,0.0,0.0
12793103.448275862,0.0,0.0
12689655.172413792,0.0,0.0
12586206.896551725,0.0,0.0
12482758.620689655,0.0,0.0
12379310.344827587,0.0,0.0
12275862.068965517,0.0,0.0
12172413.793103449,0.0,0.0
12068965.51724138,0.0,0.0
11965517.24137931,0.0,0.0
11862068.965517242,0.0,0.0
11758620.689655172,0.0,0.0
11655172.413793104,0.0,0.0
11551724.137931034,0.0,0.0
11448275.862068966,0.0,0.0
11344827.586206896,0.0,0.0
11241379.310344828,0.0,0.0
11137931.034482758,0.0,0.0
11034482.75862069,0.0,0.0
10931034.48275862,0.0,0.0
10827586.206896551,0.0,0.0
10724137.931034483,0.0,0.0
10620689.655172413,0.0,0.0
10517241.379310345,0.0,0.0
10413793.103448275,0.0,0.0
10310344.827586208,0.0,0.0
10206896.551724138,0.0,0.0
10103448.275862068,0.0,0.0
10000000.0,0.0,0.0
