bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1630816,3172040,0,0,1700000,1749568,419.9,0,1,24735,158,158,125
1718568,3172040,0,0,1700000,1765856,431.8,0,1,24988,158,158,122
1762656,3172040,0,0,1700000,1751976,428.3,0,1,25222,158,158,129
1663816,3172040,0,0,1700000,1729352,427.4,0,1,25459,158,158,129
1673584,3172040,0,0,1700000,1751968,419.5,0,1,25660,146,146,132
1663848,3172040,0,0,1700000,1754072,419.8,0,1,25855,144,144,130
1664760,3172040,0,0,1700000,1756968,424.8,0,1,26109,141,140,127
1676216,3172040,0,0,1700000,1723624,426.2,0,1,26401,138,138,124
1762904,3172040,0,0,1700000,1790416,435.6,0,1,26729,138,138,124
1754824,3172040,0,0,1700000,1770960,423.7,0,1,27090,139,139,125
1674520,3172040,0,0,1700000,1763264,433.2,0,1,27435,139,139,125
1699232,3172040,0,0,1700000,1781680,430.2,0,1,27774,139,139,125
1716856,3172040,0,0,1700000,1796536,429.6,0,1,28121,136,136,122
1756984,3172040,0,0,1700000,1798680,435.2,0,1,28442,140,140,126
1705696,3172040,0,0,1700000,1774800,434.8,0,1,28753,139,139,125
1723264,3172040,0,0,1700000,1749680,432.5,0,1,29027,143,142,129
1704320,3172040,0,0,1700000,1738176,427.3,0,1,29296,152,151,138
1706240,3172040,0,0,1700000,1752136,425.3,0,1,29524,155,155,141
1768128,3172040,0,0,1700000,1738512,431.0,0,1,29760,155,155,141
1601688,3172040,0,0,1700000,1663048,413.3,0,1,30005,158,158,144
1397536,3172040,0,0,1700000,1458136,368.9,0,1,30270,153,153,139
1740144,3172040,0,0,1700000,1728952,424.8,0,1,30528,150,150,135
1890888,3251443,0,0,1700000,1973008,474.0,0,1,30780,149,149,134
1693000,3258681,0,0,1700000,1763168,441.9,0,1,30998,145,145,131
1617240,3258681,0,0,1700000,1704352,405.8,0,1,31232,146,146,132
1707464,3258681,0,0,1700000,1728104,424.1,0,1,31473,140,140,126
1710384,3258681,0,0,1700000,1724400,427.7,0,1,31717,136,136,122
1702408,3258681,0,0,1700000,1760672,429.5,0,1,31972,135,135,121
1709104,3258681,0,0,1700000,1762032,424.7,0,1,32232,134,134,120
1716776,3258681,0,0,1700000,1761912,430.1,0,1,32504,142,142,128
1671840,3258681,0,0,1700000,1741096,421.8,0,1,32779,140,140,126
1657184,3258681,0,0,1700000,1736232,420.4,0,1,33061,136,136,122
1692304,3258681,0,0,1700000,1778360,429.8,0,1,33328,134,134,120
1710328,3258681,0,0,1700000,1747256,419.3,0,1,33595,135,135,120
1755072,3258681,0,0,1700000,1810136,430.0,0,1,33819,139,139,124
1738480,3258681,0,0,1700000,1783776,431.0,0,1,34060,135,135,121
1717952,3258681,0,0,1700000,1786840,431.6,0,1,34285,139,139,125
1734392,3258681,0,0,1700000,1791992,430.1,0,1,34505,142,142,128
1729376,3258681,0,0,1700000,1717392,424.5,0,1,34692,142,142,128
1712416,3258681,0,0,1700000,1783624,431.0,0,1,34882,153,153,139
1646488,3258681,0,0,1700000,1769864,423.4,0,1,35078,150,150,136
1773984,3258681,0,0,1700000,1830640,447.0,0,1,35269,153,153,139
1742456,3258681,0,0,1700000,1822568,436.0,0,1,35476,151,151,137
1672872,3258681,0,0,1700000,1779784,421.8,0,1,35722,142,142,128
1735128,3258681,0,0,1700000,1711536,431.0,0,1,36012,137,137,121
1701008,3258681,0,0,1700000,1706240,422.0,0,1,36332,137,137,122
1723688,3258681,0,0,1700000,1750400,430.7,0,1,36640,137,137,116
1711448,3258681,0,0,1700000,1772528,425.9,0,1,36945,137,137,116
1780040,3258681,0,0,1700000,1830064,435.2,0,1,37229,137,137,118
1726216,3258681,0,0,1700000,1810960,425.6,0,1,37503,137,137,120
1661464,3258681,0,0,1700000,1806168,425.7,0,1,37780,137,137,117
1651112,3258681,0,0,1700000,1737856,425.7,0,1,38022,143,143,128
