bandwith.googActualEncBitrate,bandwith.googAvailableSendBandwidth,bandwith.googAvailableReceiveBandwidth,bandwith.googRetransmitBitrate,bandwith.googTargetEncBitrate,bandwith.googTransmitBitrate,result.video.send.availableBandwidth,result.video.recv.availableBandwidth,result.results.packetsLost,result.results.packetsReceived,result.results.googTargetDelayMs,result.results.googCurrentDelayMs,result.results.googJitterBufferMs
1756232,3416131,0,0,1700000,1722816,434.7,0,2,23186,177,177,109
1705632,3416131,0,0,1700000,1720656,435.9,0,2,23463,177,177,102
1692216,3416131,0,0,1700000,1759848,440.6,0,2,23688,193,193,101
1709760,3416131,0,0,1700000,1743224,436.3,0,2,23923,193,193,97
1679184,3416131,0,0,1700000,1749080,432.3,0,2,24227,193,193,92
1683704,3416131,0,0,1700000,1695192,435.9,0,2,24569,193,193,88
1487536,3416131,0,0,1700000,1543552,414.3,0,3,24940,193,193,85
1947128,3453895,0,0,1700000,2013648,488.5,0,3,25357,193,193,86
1653504,3453895,0,0,1700000,1705120,444.8,0,3,25698,193,193,87
1627432,3453895,0,0,1700000,1699904,420.5,0,3,26013,193,193,87
1690832,3453895,0,0,1700000,1732768,444.2,0,3,26333,193,193,86
1665472,3453895,0,0,1700000,1729864,432.8,0,3,26660,193,193,86
1673864,3453895,0,0,1700000,1731784,443.6,0,3,26990,175,175,85
1674840,3453895,0,0,1700000,1747216,440.4,0,3,27233,175,175,85
1665312,1418484,0,0,1281388,1672128,428.0,0,3,27510,175,175,80
1604432,2808086,0,0,1700000,1640752,398.8,0,3,27798,175,175,73
1635064,2831741,0,0,1700000,1654488,415.8,0,3,28086,175,175,67
1737928,2931303,0,0,1700000,1742960,445.8,0,3,28391,175,175,62
1672208,2945917,0,0,1700000,1745296,433.2,0,3,28707,175,175,56
1675112,2956685,0,0,1700000,1766896,435.0,0,3,29023,175,175,55
1682232,2956685,0,0,1700000,1748152,432.8,0,3,29380,175,175,50
1723704,2956685,0,0,1700000,1764856,437.9,0,3,29777,175,175,56
1622944,2958823,0,0,1700000,1726240,425.0,0,3,30120,175,175,102
1744136,2958823,0,0,1700000,1723704,443.4,0,3,30322,150,150,108
1685464,2958823,0,0,1700000,1754696,437.9,0,3,30536,150,150,109
1715608,2958823,0,0,1700000,1720736,434.5,0,3,30867,120,120,105
1738704,2958823,0,0,1700000,1710000,436.8,0,3,31205,120,120,105
1704616,2958823,0,0,1700000,1752624,436.3,0,3,31554,120,120,105
1698200,2958823,0,0,1700000,1728432,430.3,0,3,31883,135,135,106
1724608,2983059,0,0,1700000,1761216,446.0,0,3,32156,140,140,109
1692040,2995876,0,0,1700000,1734608,432.8,0,3,32347,146,146,115
1718264,2995876,0,0,1700000,1757552,432.3,0,3,32483,145,145,115
1686816,3016549,0,0,1700000,1749520,432.8,0,3,32644,141,141,111
1668000,3016549,0,0,1700000,1754344,437.3,0,3,32826,125,125,107
1672864,3016549,0,0,1700000,1755832,432.1,0,4,33023,120,120,105
1678056,3016549,0,0,1700000,1704544,436.3,0,4,33240,120,120,105
1737104,3016549,0,0,1700000,1739080,443.3,0,4,33447,122,122,107
1717456,3047935,0,0,1700000,1767768,433.6,0,4,33596,126,126,110
1691784,3052251,0,0,1700000,1739080,433.0,0,4,33689,124,124,109
1716272,3052251,0,0,1700000,1759472,437.2,0,4,33815,120,120,105
1705776,3052251,0,0,1700000,1702152,427.1,0,4,33942,118,118,103
1679592,3052251,0,0,1700000,1762216,431.9,0,4,34103,112,112,97
1654096,3052251,0,0,1700000,1768632,436.5,0,4,34283,107,107,92
1681928,3052251,0,0,1700000,1754680,433.3,0,4,34462,108,108,93
1688600,3052251,0,0,1700000,1812888,440.6,0,4,34614,115,115,100
1660608,3052251,0,0,1700000,1752208,432.7,0,4,34733,114,114,99
1654136,3052251,0,0,1700000,1699224,435.6,0,4,34873,112,112,96
1686776,3052251,0,0,1700000,1774488,438.3,0,4,35048,108,108,93
1740304,3052251,0,0,1700000,1752288,432.7,0,4,35228,117,117,89
1719304,3052251,0,0,1700000,1767872,441.4,0,4,35451,117,117,86
1682896,3052251,0,0,1700000,1753576,434.1,0,4,35707,117,117,82
1716536,3052251,0,0,1700000,1794544,442.5,0,4,35942,117,117,79
1678664,3052251,0,0,1700000,1715536,430.2,0,4,36142,117,117,93
1697208,3052251,0,0,1700000,1722912,436.0,0,4,36304,117,117,93
1674112,3052251,0,0,1700000,1745568,430.2,0,4,36430,117,117,97
1634192,3052251,0,0,1700000,1737144,434.3,0,4,36544,117,117,95
1705528,3052251,0,0,1700000,1774504,437.8,0,4,36681,132,132,93
1711240,3052251,0,0,1700000,1756784,440.6,0,4,36829,132,132,91
1690360,3052251,0,0,1700000,1774792,433.6,0,4,36978,132,132,89
1719792,3052251,0,0,1700000,1758024,442.1,0,4,37139,132,132,90
1673864,3052251,0,0,1700000,1757384,431.3,0,4,37266,132,132,91
1713000,3052251,0,0,1700000,1763144,434.0,0,4,37392,132,132,90
1709992,3052251,0,0,1700000,1734040,441.2,0,4,37538,132,132,87
1677944,3052251,0,0,1700000,1728592,431.5,0,4,37692,132,132,84
1687984,3052251,0,0,1700000,1756944,436.2,0,4,37844,132,132,83
1699824,3052251,0,0,1700000,1729896,432.3,0,4,38004,132,132,82
1785824,3066336,0,0,1700000,1856120,439.9,0,4,38182,132,132,82
1682768,3066336,0,0,1700000,1693968,437.6,0,4,38386,132,132,80
1539120,2672775,0,0,1700000,1645848,405.1,0,4,38619,132,132,75
1710416,2776680,0,0,1700000,1759664,431.9,0,4,38888,132,132,71
1740648,2892299,0,0,1700000,1781264,441.6,0,4,39183,132,132,67
1721160,2916906,0,0,1700000,1749192,434.6,0,4,39442,132,132,68
1680704,2916906,0,0,1700000,1752448,433.5,0,4,39706,132,132,69
1635600,2942157,0,0,1700000,1721488,433.2,0,4,39985,132,132,68
1710824,2964202,0,0,1700000,1773704,434.3,0,4,40273,132,132,67
1720808,2970991,0,0,1700000,1702240,428.4,0,4,40516,132,132,71
1668352,2970991,0,0,1700000,1729352,437.3,0,4,40689,132,132,79
1705608,2970991,0,0,1700000,1745352,435.0,0,4,40838,132,132,81
1687680,2970991,0,0,1700000,1743960,434.2,0,4,40976,132,132,85
1704776,2970991,0,0,1700000,1725928,428.3,0,4,41094,132,132,96
1640776,2970991,0,0,1700000,1723368,433.5,0,4,41243,132,132,98
1684544,2970991,0,0,1700000,1765048,436.3,0,4,41418,132,132,98
