delay,loss,th
121,0,2204272
121,0,2328640
121,0,2205992
158,0,711704
203,0,2571400
239,0,1958736
271,0,1545088
276,0,1671600
299,1,2307048
299,0,2221280
316,0,2201576
316,0,2149104
316,0,2222760
316,0,2196800
293,0,1641984
273,0,1746384
256,0,1737616
256,0,1755312
239,0,1741320
239,0,1766632
216,1,1740952
195,0,1780632
195,0,1715016
179,0,1744928
179,0,1729368
179,1,1765840
158,0,1740976
123,0,1747744
123,0,1755112
123,0,1731352
123,0,1747760
139,0,1738496
139,0,1749280
139,0,2251776
139,0,2217592
139,0,2211600
139,0,2236536
139,0,2185992
139,0,2192200
139,0,1708392
139,0,1772928
