qoe
3.8498000000000006
4.94
4.87
4.88
4.89
4.85
4.885
4.82
4.89
4.85
4.94
4.89
4.88
4.8100000000000005
4.94
4.86
4.875
4.94
4.83
4.865
4.89
4.7646999999999995
4.6847
4.714799999999999
4.8499
4.835
4.7797
4.89
4.865
4.4541
4.5896
4.4342
4.1536
4.3038
4.343999999999999
4.85
4.84
4.5794
4.94
4.865
4.885
4.865
4.875
4.885
4.875
4.865
4.94
4.88
4.88
4.4142
4.89
4.94
4.855
4.84
4.865
4.8699
4.885
4.85
4.063400000000001
4.8098
4.7097999999999995
4.4492
4.635
4.8294
4.5194
4.79
4.6596
4.7646
4.8
5.09
4.725
4.865
4.85
4.94
4.825
4.89
4.8
4.814900000000001
4.88
4.855
4.94
4.6647
4.7396
4.8748
4.74
4.569500000000001
4.6696
4.94
4.3791
4.845
4.84
4.6596
4.5443
4.7298
4.94
4.89
4.3189
4.875
4.88
4.7498
5.14
